qp_x,qp_y,qp_z,tissue_id
1.95092359e-03,6.45013584e-04,1.00593657e-04,1
4.83325263e-03,6.45013584e-04,8.89109680e-04,1
9.05408897e-03,6.45013584e-04,2.04379973e-03,1
1.32749248e-02,6.45013584e-04,3.19848978e-03,1
1.61572546e-02,6.45013584e-04,3.98700591e-03,1
6.71487441e-03,6.45013584e-04,-2.93664372e-04,1
9.59720369e-03,6.45013584e-04,4.94851673e-04,1
1.38180396e-02,6.45013584e-04,1.64954178e-03,1
1.80388745e-02,6.45013584e-04,2.80423183e-03,1
2.09212042e-02,6.45013584e-04,3.59274773e-03,1
1.36911264e-02,6.45013584e-04,-8.71009368e-04,1
1.65734552e-02,6.45013584e-04,-8.24933377e-05,1
2.07942910e-02,6.45013584e-04,1.07219676e-03,1
2.50151269e-02,6.45013584e-04,2.22688681e-03,1
2.78974567e-02,6.45013584e-04,3.01540270e-03,1
2.06673779e-02,6.45013584e-04,-1.44835445e-03,1
2.35497076e-02,6.45013584e-04,-6.59838377e-04,1
2.77705435e-02,6.45013584e-04,4.94851673e-04,1
3.19913775e-02,6.45013584e-04,1.64954178e-03,1
3.48737091e-02,6.45013584e-04,2.43805768e-03,1
2.54313275e-02,6.45013584e-04,-1.84261240e-03,1
2.83136573e-02,6.45013584e-04,-1.05409638e-03,1
3.25344950e-02,6.45013584e-04,1.00593657e-04,1
3.67553309e-02,6.45013584e-04,1.25528371e-03,1
3.96376587e-02,6.45013584e-04,2.04379973e-03,1
1.95092359e-03,3.17302346e-03,1.00593657e-04,1
4.83325263e-03,3.17302346e-03,8.89109680e-04,1
9.05408897e-03,3.17302346e-03,2.04379973e-03,1
1.32749248e-02,3.17302346e-03,3.19848978e-03,1
1.61572546e-02,3.17302346e-03,3.98700591e-03,1
6.71487441e-03,3.17302346e-03,-2.93664372e-04,1
9.59720369e-03,3.17302346e-03,4.94851673e-04,1
1.38180396e-02,3.17302346e-03,1.64954178e-03,1
1.80388745e-02,3.17302346e-03,2.80423183e-03,1
2.09212042e-02,3.17302346e-03,3.59274773e-03,1
1.36911264e-02,3.17302346e-03,-8.71009368e-04,1
1.65734552e-02,3.17302346e-03,-8.24933377e-05,1
2.07942910e-02,3.17302346e-03,1.07219676e-03,1
2.50151269e-02,3.17302346e-03,2.22688681e-03,1
2.78974567e-02,3.17302346e-03,3.01540270e-03,1
2.06673779e-02,3.17302346e-03,-1.44835445e-03,1
2.35497076e-02,3.17302346e-03,-6.59838377e-04,1
2.77705435e-02,3.17302346e-03,4.94851673e-04,1
3.19913775e-02,3.17302346e-03,1.64954178e-03,1
3.48737091e-02,3.17302346e-03,2.43805768e-03,1
2.54313275e-02,3.17302346e-03,-1.84261240e-03,1
2.83136573e-02,3.17302346e-03,-1.05409638e-03,1
3.25344950e-02,3.17302346e-03,1.00593657e-04,1
3.67553309e-02,3.17302346e-03,1.25528371e-03,1
3.96376587e-02,3.17302346e-03,2.04379973e-03,1
1.95092359e-03,6.87499996e-03,1.00593657e-04,1
4.83325263e-03,6.87499996e-03,8.89109680e-04,1
9.05408897e-03,6.87499996e-03,2.04379973e-03,1
1.32749248e-02,6.87499996e-03,3.19848978e-03,1
1.61572546e-02,6.87499996e-03,3.98700591e-03,1
6.71487441e-03,6.87499996e-03,-2.93664372e-04,1
9.59720369e-03,6.87499996e-03,4.94851673e-04,1
1.38180396e-02,6.87499996e-03,1.64954178e-03,1
1.80388745e-02,6.87499996e-03,2.80423183e-03,1
2.09212042e-02,6.87499996e-03,3.59274773e-03,1
1.36911264e-02,6.87499996e-03,-8.71009368e-04,1
1.65734552e-02,6.87499996e-03,-8.24933377e-05,1
2.07942910e-02,6.87499996e-03,1.07219676e-03,1
2.50151269e-02,6.87499996e-03,2.22688681e-03,1
2.78974567e-02,6.87499996e-03,3.01540270e-03,1
2.06673779e-02,6.87499996e-03,-1.44835445e-03,1
2.35497076e-02,6.87499996e-03,-6.59838377e-04,1
2.77705435e-02,6.87499996e-03,4.94851673e-04,1
3.19913775e-02,6.87499996e-03,1.64954178e-03,1
3.48737091e-02,6.87499996e-03,2.43805768e-03,1
2.54313275e-02,6.87499996e-03,-1.84261240e-03,1
2.83136573e-02,6.87499996e-03,-1.05409638e-03,1
3.25344950e-02,6.87499996e-03,1.00593657e-04,1
3.67553309e-02,6.87499996e-03,1.25528371e-03,1
3.96376587e-02,6.87499996e-03,2.04379973e-03,1
1.95092359e-03,1.05769765e-02,1.00593657e-04,1
4.83325263e-03,1.05769765e-02,8.89109680e-04,1
9.05408897e-03,1.05769765e-02,2.04379973e-03,1
1.32749248e-02,1.05769765e-02,3.19848978e-03,1
1.61572546e-02,1.05769765e-02,3.98700591e-03,1
6.71487441e-03,1.05769765e-02,-2.93664372e-04,1
9.59720369e-03,1.05769765e-02,4.94851673e-04,1
1.38180396e-02,1.05769765e-02,1.64954178e-03,1
1.80388745e-02,1.05769765e-02,2.80423183e-03,1
2.09212042e-02,1.05769765e-02,3.59274773e-03,1
1.36911264e-02,1.05769765e-02,-8.71009368e-04,1
1.65734552e-02,1.05769765e-02,-8.24933377e-05,1
